日期,每小时露点温度,每小时降水量,每小时相对湿度,每小时站压力,每小时可见度,每小时风速
2018-01-02T13:00:00,6,,46,30.35,9.94,17
2018-01-02T13:51:00,6,0,44,30.32,10,14
2018-01-02T14:51:00,6,0,42,30.32,10,14
2018-01-02T15:51:00,8,0,48,30.32,10,16
2018-01-02T16:00:00,8,,48,30.32,9.94,16
2018-01-02T16:51:00,7,0,48,30.32,10,18
2018-01-02T17:51:00,8,0,53,30.32,10,15
2018-01-02T18:51:00,8,0,53,30.34,10,20
2018-01-02T19:00:00,8,,53,30.33,9.94,20
2018-01-02T19:51:00,7,0,54,30.32,10,20
2018-01-02T20:51:00,6,0,55,30.34,10,17
2018-01-02T21:51:00,5,0,52,30.34,10,17
2018-01-02T22:00:00,5,,52,30.33,9.94,17
2018-01-02T22:51:00,4,0,51,30.32,10,11
2018-01-02T23:51:00,4,0,50,30.32,10,13
2018-01-02T23:59:00,,,,,,
2018-01-03T00:51:00,4,0,51,30.32,10,17
2018-01-03T01:00:00,4,,51,30.32,9.94,17
2018-01-03T01:51:00,4,0,54,30.34,10,16
2018-01-03T02:51:00,3,0,54,30.35,10,13
2018-01-03T03:51:00,3,0,52,30.34,10,16
2018-01-03T04:00:00,3,,52,30.33,9.94,16
2018-01-03T04:51:00,1,0,47,30.32,10,10
2018-01-03T05:51:00,2,0,51,30.32,10,9
2018-01-03T06:51:00,2,0,56,30.32,10,9
2018-01-03T07:00:00,2,,56,30.32,9.94,9
2018-01-03T07:51:00,3,0,54,30.35,10,10
2018-01-03T08:51:00,2,0,47,30.35,10,11
2018-01-03T09:51:00,2,0,43,30.34,10,5
2018-01-03T10:00:00,2,,43,30.33,9.94,5
2018-01-03T10:51:00,2,0,40,30.32,10,6
2018-01-03T11:51:00,0,0,35,30.29,10,5
2018-01-03T12:51:00,3,0,39,30.25,10,5
2018-01-03T13:00:00,3,,39,30.25,9.94,5
2018-01-03T13:51:00,8,0,46,30.22,10,7
2018-01-03T14:51:00,1,0,32,30.19,10,3
2018-01-03T15:51:00,4,0,38,30.17,10,5
2018-01-03T16:00:00,4,,38,30.16,9.94,5
2018-01-03T16:51:00,7,0,48,30.21,10,3
2018-01-03T17:51:00,7,0,44,30.17,10,0
2018-01-03T18:51:00,9,0,52,30.16,10,6
2018-01-03T19:00:00,9,,52,30.15,9.94,6
2018-01-03T19:51:00,12,0,58,30.12,10,6
2018-01-03T20:51:00,13,0,57,30.11,10,6
2018-01-03T21:51:00,14,0,60,30.08,10,7
2018-01-03T22:00:00,14,,60,30.07,9.94,7
2018-01-03T22:51:00,13,0,55,30.01,10,10
2018-01-03T23:51:00,14,0,56,29.98,10,11
2018-01-03T23:59:00,,,,,,
2018-01-04T00:39:00,18,T,66,29.93,10,14
2018-01-04T00:51:00,17,T,63,29.91,10,14
2018-01-04T01:00:00,17,,63,29.91,9.94,14
2018-01-04T01:29:00,17,T,63,29.87,10,13
2018-01-04T01:51:00,17,T,61,29.87,10,15
2018-01-04T02:51:00,16,T,60,29.8,10,17
2018-01-04T03:41:00,21,0.01,85,29.72,0.5,20
2018-01-04T03:51:00,22,0.02,88,29.7,0.5,20
2018-01-04T04:00:00,22,,88,29.69,0.5,20
2018-01-04T04:25:00,23,T,92,29.65,1,21
2018-01-04T04:51:00,22,T,88,29.62,1,23
2018-01-04T05:33:00,23,T,92,29.59,0.75,23
2018-01-04T05:49:00,23,,93,29.57,0.75,26
2018-01-04T05:51:00,23,0.01,96,29.57,0.75,28
2018-01-04T06:51:00,22,0.01,91,29.49,0.75,28
2018-01-04T07:00:00,22,,91,29.49,0.75,28
2018-01-04T07:51:00,23,0.03,96,29.46,0.5,28
2018-01-04T08:11:00,22,0.01,91,29.44,0.25,29
2018-01-04T08:25:00,22,0.01,91,29.44,0.25,30
2018-01-04T08:39:00,22,0.02,91,29.43,0.25,28
2018-01-04T08:51:00,22,0.06s,96,29.43,0.25,32
2018-01-04T09:26:00,21,0.02,96,29.39,0.12,31
2018-01-04T09:51:00,20,0.1,92,29.36,0.12,31
2018-01-04T10:00:00,20,,92,29.36,0.12,31
2018-01-04T10:51:00,21,0.06s,96,29.31,0.12,34
2018-01-04T11:51:00,22,0.06s,96,29.25,0.12,33
2018-01-04T12:08:00,21,0.01,92,29.23,0.12,37
2018-01-04T12:51:00,21,0.03,92,29.2,0.12,36
2018-01-04T13:00:00,21,,92,29.19s,0.12,36
2018-01-04T13:16:00,21,T,92,29.20s,0.12,41
2018-01-04T13:43:00,21,T,92,29.22,0.5,37
2018-01-04T13:51:00,21,0.03s,92,29.21s,0.5,36
2018-01-04T14:51:00,21,0.03,92,29.22,0.5,32
2018-01-04T15:28:00,21,T,92,29.23,0.5,30
2018-01-04T15:49:00,19,,86,29.25,2.5,32
2018-01-04T15:51:00,20,0.02,84,29.26,2.5,29
2018-01-04T16:00:00,20,,84,29.25,2.49,29
2018-01-04T16:34:00,20,T,84,29.28,1.5,32
2018-01-04T16:49:00,19,,80,29.28,2,37
2018-01-04T16:51:00,20,0.01,84,29.28,2,30
2018-01-04T17:49:00,18,,74,29.31,5,31
2018-01-04T17:51:00,18,0.02,75,29.31,5,31
2018-01-04T18:51:00,16,0,69,29.36,8,34
2018-01-04T19:00:00,16,,69,29.35,7.46,34
2018-01-04T19:51:00,14,0,65,29.41,9,26
2018-01-04T20:51:00,12,0,66,29.46,10,25
2018-01-04T21:51:00,11,0,65,29.49,10,29
2018-01-04T22:00:00,11,,65,29.48,9.94,29
2018-01-04T22:51:00,10,0,65,29.51,10,34
2018-01-04T23:51:00,9,0,65,29.52,10,31
2018-01-04T23:59:00,,,,,,
2018-01-05T00:51:00,6,0,62,29.56,10,28
2018-01-05T01:00:00,6,,62,29.55,9.94,28
2018-01-05T01:51:00,4,0,61,29.59,10,28
2018-01-05T02:51:00,2,0,58,29.59,10,31
2018-01-05T03:51:00,2,0,61,29.64,10,24
2018-01-05T04:00:00,2,,61,29.63,9.94,24
2018-01-05T04:51:00,0,0,58,29.67,10,23
2018-01-05T05:51:00,-1,0,58,29.7,10,23
2018-01-05T06:51:00,-2,0,58,29.72,10,24
2018-01-05T07:00:00,-2,,58,29.72,9.94,24
2018-01-05T07:51:00,-2,0,58,29.75,10,26
2018-01-05T08:51:00,-2,0,58,29.78,10,26
2018-01-05T09:51:00,-2,0,55,29.8,10,22
2018-01-05T10:00:00,-2,,55,29.79,9.94,22
2018-01-05T10:51:00,-3,0,51,29.8,10,23
2018-01-05T11:51:00,-3,0,49,29.8,10,23
2018-01-05T12:51:00,-2,0,49,29.8,10,30
2018-01-05T13:00:00,-2,,49,29.79,9.94,30
2018-01-05T13:51:00,-2,0,46,29.8,10,28
2018-01-05T14:51:00,-4,0,41,29.83,10,29
2018-01-05T15:51:00,-6,0,37,29.85,10,31
2018-01-05T16:00:00,-6,,37,29.85,9.94,31
2018-01-05T16:51:00,-6,0,37,29.88,10,23
2018-01-05T17:51:00,-5,0,40,29.91,10,17
2018-01-05T18:51:00,-6,0,38,29.95,10,24
2018-01-05T19:00:00,-6,,38,29.94,9.94,24
2018-01-05T19:51:00,-7,0,38,29.96,10,26
2018-01-05T20:51:00,-7,0,40,30,10,21
2018-01-05T21:51:00,-7,0,42,30.03,10,22
2018-01-05T22:00:00,-7,,42,30.02,9.94,22
2018-01-05T22:51:00,-8,0,42,30.04,10,21
2018-01-05T23:51:00,-8,0,42,30.06,8,29
2018-01-05T23:59:00,,,,,,
2018-01-06T00:51:00,-8,0,43,30.06,10,25
2018-01-06T01:00:00,-8,,43,30.06,9.94,25
2018-01-06T01:51:00,-8,0,42,30.09,10,25
2018-01-06T02:51:00,-8,0,43,30.09,10,21
2018-01-06T03:51:00,-9,0,43,30.11,10,17
2018-01-06T04:00:00,-9,,43,30.1,9.94,17
2018-01-06T04:51:00,-8,0,46,30.12,10,20
2018-01-06T05:51:00,-3,0,58,30.14,10,17
2018-01-06T06:51:00,-4,0,55,30.16,10,22
2018-01-06T07:00:00,-4,,55,30.15,9.94,22
2018-01-06T07:51:00,-4,0,55,30.19,10,22
2018-01-06T08:51:00,-6,0,50,30.19,10,25
2018-01-06T09:51:00,-6,0,48,30.19,10,20
2018-01-06T10:00:00,-6,,48,30.19,9.94,20
2018-01-06T10:51:00,-8,0,42,30.22,10,23
2018-01-06T11:51:00,-10,0,36,30.21,10,23
2018-01-06T12:51:00,-9,0,36,30.19,10,23
2018-01-06T13:00:00,-9,,36,30.19,9.94,23
2018-01-06T13:51:00,-8,0,38,30.21,10,20
2018-01-06T14:51:00,-9,0,36,30.22,10,26
2018-01-06T15:51:00,-9,0,36,30.24,10,23
2018-01-06T16:00:00,-9,,36,30.23,9.94,23
2018-01-06T16:51:00,-10,0,36,30.27,10,23
2018-01-06T17:51:00,-10,0,38,30.29,10,28
2018-01-06T18:51:00,-10,0,39,30.35,10,22
2018-01-06T19:00:00,-10,,39,30.34,9.94,22
2018-01-06T19:51:00,-11,0,39,30.35,10,28
2018-01-06T20:51:00,-10,0,43,30.38,10,18
2018-01-06T21:51:00,-9,0,45,30.4,10,22
2018-01-06T22:00:00,-9,,45,30.4,9.94,22
2018-01-06T22:51:00,-8,0,47,30.42,10,20
2018-01-06T23:51:00,-8,0,50,30.42,10,21
2018-01-06T23:59:00,,,,,,
2018-01-07T00:51:00,-8,0,52,30.42,10,21
2018-01-07T01:00:00,-8,,52,30.42,9.94,21
2018-01-07T01:51:00,-7,0,54,30.45,10,23
2018-01-07T02:51:00,-7,0,54,30.48,10,16
2018-01-07T03:51:00,-8,0,52,30.5,10,18
2018-01-07T04:00:00,-8,,52,30.5,9.94,18
2018-01-07T04:51:00,-8,0,52,30.51,10,17
2018-01-07T05:51:00,-7,0,57,30.53,10,14
2018-01-07T06:51:00,-7,0,57,30.56,10,11
2018-01-07T07:00:00,-7,,57,30.55,9.94,11
2018-01-07T07:51:00,-6,0,63,30.56,10,9
2018-01-07T08:51:00,-6,0,55,30.6,10,11
2018-01-07T09:51:00,-6,0,50,30.61,10,6
2018-01-07T10:00:00,-6,,50,30.6,9.94,6
2018-01-07T10:51:00,-3,0,53,30.58,10,7
2018-01-07T11:51:00,-3,0,49,30.55,10,8
2018-01-07T12:51:00,-1,0,51,30.55,10,10
2018-01-07T13:00:00,-1,,51,30.54,9.94,10
2018-01-07T13:51:00,1,0,53,30.51,10,8
2018-01-07T14:51:00,2,0,56,30.5,10,8
2018-01-07T15:51:00,1,0,53,30.5,10,13
2018-01-07T16:00:00,1,,53,30.49,9.94,13
2018-01-07T16:51:00,3,0,56,30.48,10,10
2018-01-07T17:51:00,2,0,54,30.47,10,14
2018-01-07T18:51:00,3,0,56,30.47,10,15
2018-01-07T19:00:00,3,,56,30.46,9.94,15
2018-01-07T19:51:00,2,0,51,30.45,10,18
2018-01-07T20:51:00,4,0,56,30.42,10,15
2018-01-07T21:51:00,4,0,56,30.42,10,17
2018-01-07T22:00:00,4,,56,30.41,9.94,17
2018-01-07T22:51:00,5,0,62,30.4,10,20
2018-01-07T23:51:00,6,0,59,30.37,10,20
2018-01-07T23:59:00,,,,,,
2018-01-08T00:51:00,6,0,62,30.37,10,21
2018-01-08T01:00:00,6,,62,30.36,9.94,21
2018-01-08T01:51:00,8,0,62,30.35,10,18
2018-01-08T02:51:00,9,0,65,30.34,10,16
2018-01-08T03:51:00,9,0,65,30.32,10,15
2018-01-08T04:00:00,9,,65,30.31,9.94,15
2018-01-08T04:51:00,8,0,65,30.3,10,15
2018-01-08T05:51:00,9,0,68,30.3,10,16
2018-01-08T06:51:00,10,0,68,30.29,10,16
2018-01-08T07:00:00,10,,68,30.29,9.94,16
2018-01-08T07:51:00,11,0,68,30.25,10,13
2018-01-08T08:51:00,11,0,65,30.25,10,13
2018-01-08T09:51:00,12,0,63,30.24,10,11
2018-01-08T10:00:00,12,,63,30.24,9.94,11
2018-01-08T10:51:00,13,0,60,30.22,10,11
2018-01-08T11:51:00,14,0,60,30.16,10,9
2018-01-08T12:51:00,15,0,61,30.12,10,10
2018-01-08T13:00:00,15,,61,30.12,9.94,10
2018-01-08T13:51:00,17,0,61,30.09,10,13
2018-01-08T14:51:00,17,0,58,30.06,10,9
2018-01-08T15:49:00,19,T,64,30.06,10,9
2018-01-08T15:51:00,19,T,61,30.06,10,9
2018-01-08T16:00:00,19,,61,30.06,9.94,9
2018-01-08T16:25:00,20,T,64,30.08,8,10
2018-01-08T16:47:00,21,0.01,69,30.08,9,13
2018-01-08T16:51:00,21,0.01,69,30.08,9,15
2018-01-08T17:16:00,23,0.01,75,30.08,10,11
2018-01-08T17:48:00,21,0.01,69,30.08,10,17
2018-01-08T17:51:00,22,0.01,72,30.08,10,16
2018-01-08T18:51:00,23,0,75,30.09,10,11
2018-01-08T19:00:00,23,,75,30.08,9.94,11
2018-01-08T19:51:00,23,0,78,30.09,10,11
2018-01-08T20:51:00,23,0,75,30.06,10,13
2018-01-08T21:51:00,24,0,76,30.06,10,11
2018-01-08T22:00:00,24,,76,30.05,9.94,11
2018-01-08T22:51:00,24,0,76,30.04,10,13
2018-01-08T23:51:00,24,0,73,30.03,10,11
2018-01-08T23:59:00,,,,,,
2018-01-09T00:51:00,24,0,76,30.01,10,13
2018-01-09T01:00:00,24,,76,30.01,9.94,13
2018-01-09T01:51:00,23,0,78,30.03,10,13
2018-01-09T02:51:00,22,0,84,30.04,10,8
2018-01-09T03:51:00,23,0,85,30.03,10,13
2018-01-09T04:00:00,23,,85,30.03,9.94,13
2018-01-09T04:51:00,24,0,85,30.06,10,14
2018-01-09T05:51:00,24,0,85,30.06,10,14
2018-01-09T06:51:00,25,0,82,30.09,10,13
2018-01-09T07:00:00,25,,82,30.09,9.94,13
2018-01-09T07:51:00,26,0,82,30.11,10,13
2018-01-09T08:51:00,27,0,75,30.14,10,16
2018-01-09T09:51:00,27,0,65,30.14,10,15
2018-01-09T10:00:00,27,,65,30.14,9.94,15
2018-01-09T10:51:00,28,0,65,30.14,10,13
2018-01-09T11:51:00,27,0,60,30.14,10,14
2018-01-09T12:51:00,23,0,47,30.14,10,20
2018-01-09T13:00:00,23,,47,30.13,9.94,20
2018-01-09T13:51:00,23,0,45,30.12,10,18
2018-01-09T14:51:00,23,0,45,30.14,10,20
2018-01-09T15:51:00,23,0,47,30.17,10,22
2018-01-09T16:00:00,23,,47,30.16,9.94,22
2018-01-09T16:51:00,23,0,51,30.22,10,11
2018-01-09T17:51:00,22,0,50,30.24,10,14
2018-01-09T18:51:00,22,0,54,30.27,10,13
2018-01-09T19:00:00,22,,54,30.26,9.94,13
2018-01-09T19:51:00,23,0,59,30.3,10,14
2018-01-09T20:51:00,21,0,57,30.32,10,14
2018-01-09T21:51:00,21,0,57,30.34,10,7
2018-01-09T22:00:00,21,,57,30.33,9.94,7
2018-01-09T22:51:00,21,0,61,30.37,10,6
2018-01-09T23:51:00,20,0,58,30.37,10,7
2018-01-09T23:59:00,,,,,,
2018-01-10T00:51:00,19,0,66,30.37,10,5
2018-01-10T01:00:00,19,,66,30.37,9.94,5
2018-01-10T01:51:00,19,0,66,30.4,10,6
2018-01-10T02:51:00,19,0,75,30.42,10,3
2018-01-10T03:51:00,19,0,81,30.43,10,0
2018-01-10T04:00:00,19,,81,30.42,9.94,0
2018-01-10T04:51:00,19,0,89,30.45,10,5
2018-01-10T05:51:00,19,0,69,30.45,10,7
2018-01-10T06:51:00,20,0,81,30.45,10,7
2018-01-10T07:00:00,20,,81,30.45,9.94,7
2018-01-10T07:51:00,20,0,78,30.47,10,6
2018-01-10T08:51:00,22,0,72,30.5,10,0
2018-01-10T09:51:00,20,0,58,30.5,10,7
2018-01-10T10:00:00,20,,58,30.49,9.94,7
2018-01-10T10:51:00,20,0,54,30.5,10,0
2018-01-10T11:51:00,21,0,57,30.48,10,3
2018-01-10T12:51:00,22,0,59,30.45,10,3
2018-01-10T13:00:00,22,,59,30.45,9.94,3
2018-01-10T13:51:00,25,0,64,30.43,10,7
2018-01-10T14:51:00,27,0,67,30.43,10,8
2018-01-10T15:51:00,27,0,70,30.43,10,7
2018-01-10T16:00:00,27,,70,30.42,9.94,7
2018-01-10T16:51:00,28,0,73,30.42,10,8
2018-01-10T17:51:00,28,0,79,30.43,10,6
2018-01-10T18:51:00,30,0,82,30.42,10,3
2018-01-10T19:00:00,30,,82,30.42,9.94,3
2018-01-10T19:51:00,33,0,86,30.45,10,0
2018-01-10T20:51:00,35,0,93,30.42,10,6
2018-01-10T21:51:00,35,0,89,30.42,10,9
2018-01-10T22:00:00,35,,89,30.41,9.94,9
2018-01-10T22:51:00,36,0,89,30.4,10,7
2018-01-10T23:51:00,37,0,93,30.4,10,5
2018-01-10T23:59:00,,,,,,
2018-01-11T00:51:00,37,0,93,30.37,10,5
2018-01-11T01:00:00,37,,93,30.37,9.94,5
2018-01-11T01:51:00,37,0,93,30.37,10,0
2018-01-11T02:51:00,37,0,93,30.37,10,0
2018-01-11T03:51:00,37,0,97,30.35,10,0
2018-01-11T04:00:00,37,,97,30.35,9.94,0
2018-01-11T04:39:00,37,,97,30.35,10,0
2018-01-11T04:51:00,37,0,93,30.35,10,0
2018-01-11T05:51:00,39,0,97,30.35,10,0
2018-01-11T06:51:00,39,0,97,30.35,10,3
2018-01-11T07:00:00,39,,97,30.35,9.94,3
2018-01-11T07:26:00,39,,97,30.37,10,3
2018-01-11T07:51:00,39,0,97,30.37,10,3
2018-01-11T08:51:00,40,0,92,30.37,10,0
2018-01-11T09:51:00,39,0,89,30.4,9,0
2018-01-11T10:00:00,39,,89,30.4,8.7,0
2018-01-11T10:51:00,41,0,86,30.4,10,5
2018-01-11T11:51:00,43,0,83,30.35,10,5
2018-01-11T12:51:00,43,0,83,30.34,10,5
2018-01-11T13:00:00,43,,83,30.33,9.94,5
2018-01-11T13:51:00,43,0,89,30.32,10,5
2018-01-11T14:51:00,43,0,86,30.32,10,5
2018-01-11T15:51:00,42,0,86,30.32,9,3
2018-01-11T16:00:00,42,,86,30.32,8.7,3
2018-01-11T16:51:00,42,0,97,30.32,8,3
2018-01-11T17:51:00,42,0,100,30.3,9,5
2018-01-11T18:51:00,42,0,100,30.29,6,7
2018-01-11T19:00:00,42,,100,30.28,5.59,7
2018-01-11T19:48:00,43,,100,30.27,6,0
2018-01-11T19:51:00,42,0,100,30.27,6,0
2018-01-11T20:51:00,43,0,96,30.24,9,5
2018-01-11T21:51:00,43,0,100,30.22,10,8
2018-01-11T22:00:00,43,,100,30.22,9.94,8
2018-01-11T22:51:00,44,0,100,30.21,10,5
2018-01-11T23:51:00,44,0,100,30.17,8,0
2018-01-11T23:59:00,,,,,,
2018-01-12T00:26:00,42,,100,30.16,2.5,6
2018-01-12T00:28:00,42,,100,30.16,1,7
2018-01-12T00:51:00,45,0,100,30.16,1,5
2018-01-12T01:00:00,45,,100,30.15,0.99,5
2018-01-12T01:18:00,45,,100,30.14,0.25,0
2018-01-12T01:51:00,45,0,100,30.14,0.25,6
2018-01-12T02:51:00,42,0,100,30.11,0.25,3
2018-01-12T03:51:00,45,0,100,30.06,0.25,10
2018-01-12T04:00:00,45,,100,30.06,0.25,10
2018-01-12T04:51:00,48,0,100,30.04,0.25,16
2018-01-12T05:36:00,50,T,100,30.03,0.25,18
2018-01-12T05:44:00,50,T,100,30.01,1,18
2018-01-12T05:51:00,50,T,100,30.01,1,20
2018-01-12T06:29:00,51,0.01,100,30.01,1.5,17
2018-01-12T06:46:00,50,0.01,100,30,0.25,17
2018-01-12T06:51:00,50,0.01,100,30,0.25,16
2018-01-12T07:00:00,50,,100,29.99,0.25,16
2018-01-12T07:01:00,49,,100,29.98,0.25,16
2018-01-12T07:07:00,50,,100,29.98,0.25,16
2018-01-12T07:17:00,50,,100,29.98,0.25,17
2018-01-12T07:23:00,50,,100,29.98,0.25,20
2018-01-12T07:44:00,49,T,100,29.98,0.25,14
2018-01-12T07:51:00,50,T,100,29.98,0.25,18
2018-01-12T08:51:00,50,0.01,100,29.95,0.25,16
2018-01-12T09:51:00,54,0.01,100,29.93,0.25,26
2018-01-12T10:00:00,54,,100,29.93,0.25,26
2018-01-12T10:12:00,52,T,100,29.93,0.12,23
2018-01-12T10:51:00,50,T,100,29.91,0.12,17
2018-01-12T11:51:00,48,0.02,100,29.88,0.12,15
2018-01-12T12:18:00,48,0.03,100,29.85,0.12,17
2018-01-12T12:20:00,49,0.04,100,29.85,0.12,21
2018-01-12T12:43:00,52,0.14,100,29.83,0.12,26
2018-01-12T12:51:00,51,0.15,100,29.83,0.12,24
2018-01-12T13:00:00,51,,100,29.83,0.12,24
2018-01-12T13:51:00,50,0.01,100,29.8,0.12,23
2018-01-12T14:51:00,51,0.01,100,29.78,0.12,21
2018-01-12T15:51:00,47,0.02,100,29.75,0.12,13
2018-01-12T16:00:00,47,,100,29.74,0.12,13
2018-01-12T16:51:00,50,T,100,29.74,0.12,21
2018-01-12T17:47:00,48,T,100,29.74,0.12,18
2018-01-12T17:51:00,49,T,100,29.74,0.12,17
2018-01-12T18:51:00,48,0,100,29.72,0.12,13
2018-01-12T19:00:00,48,,100,29.71,0.12,13
2018-01-12T19:36:00,48,T,100,29.7,0.12,14
2018-01-12T19:51:00,48,0.01,100,29.7,0.12,13
2018-01-12T20:13:00,48,T,100,29.67,0.12,11
2018-01-12T20:30:00,49,T,100,29.67,0.12,15
2018-01-12T20:42:00,49,T,100,29.67,0.12,17
2018-01-12T20:49:00,48,,100,29.67,0.12,17
2018-01-12T20:51:00,49,T,100,29.65,0.12,17
2018-01-12T21:44:00,50,0.01,100,29.62,0.12,17
2018-01-12T21:51:00,50,0.04,100,29.62,0.12,16
2018-01-12T22:00:00,50,,100,29.61,0.12,16
2018-01-12T22:14:00,51,0.05,100,29.59,0.12,17
2018-01-12T22:51:00,51,0.13,100,29.57,0.12,18
2018-01-12T23:11:00,51,T,100,29.57,0.12,22
2018-01-12T23:49:00,50,,100,29.52,0.12,22
2018-01-12T23:51:00,50,0.03,100,29.52,0.12,22
2018-01-12T23:59:00,,,,,,
2018-01-13T00:51:00,50,0.02,100,29.51,0.12,21
2018-01-13T01:00:00,50,,100,29.5,0.12,21
2018-01-13T01:51:00,49,T,100,29.48,0.12,16
2018-01-13T02:51:00,49,0.01,100,29.41,0.12,15
2018-01-13T03:49:00,50,,100,29.31,0.12,20
2018-01-13T03:51:00,50,0.05,100,29.31,0.12,16
2018-01-13T04:00:00,50,,100,29.3,0.12,16
2018-01-13T04:49:00,48,,100,29.34,0.12,31
2018-01-13T04:51:00,49,T,100,29.34,0.12,30
2018-01-13T05:38:00,45,,100,29.36,0.12,25
2018-01-13T05:51:00,45,0,100,29.39,0.12,24
2018-01-13T06:37:00,45,,100,29.44,3,22
2018-01-13T06:51:00,45,0,100,29.47,9,17
2018-01-13T06:58:00,46,,100,29.49,10,17
2018-01-13T07:00:00,45,,100,29.46,8.7,17
2018-01-13T07:05:00,46,,100,29.49,10,20
2018-01-13T07:14:00,45,,96,29.52,10,20
2018-01-13T07:49:00,39,,93,29.59,10,24
2018-01-13T07:51:00,39,0,93,29.59,10,25
2018-01-13T08:03:00,36,,86,29.62,10,22
2018-01-13T08:51:00,28,0,79,29.72,10,17
2018-01-13T09:20:00,24,,73,29.74,10,20
2018-01-13T09:51:00,21,0,67,29.78,10,26
2018-01-13T10:00:00,21,,67,29.77,9.94,26
2018-01-13T10:51:00,18,0,59,29.83,10,25
2018-01-13T11:19:00,18,,61,29.85,10,22
2018-01-13T11:29:00,19,,59,29.85,10,16
2018-01-13T11:51:00,19,0,59,29.85,10,23
2018-01-13T12:51:00,20,0,56,29.9,10,20
2018-01-13T13:00:00,20,,56,29.89,9.94,20
2018-01-13T13:51:00,19,0,52,29.93,10,13
2018-01-13T14:51:00,18,0,52,29.98,10,17
2018-01-13T15:51:00,17,0,52,30.04,10,20
2018-01-13T16:00:00,17,,52,30.04,9.94,20
2018-01-13T16:51:00,15,0,54,30.09,10,23
2018-01-13T17:51:00,13,0,55,30.14,10,18
2018-01-13T18:51:00,12,0,55,30.19,10,23
2018-01-13T19:00:00,12,,55,30.18,9.94,23
2018-01-13T19:51:00,10,0,55,30.24,10,25
2018-01-13T20:51:00,8,0,53,30.27,10,18
2018-01-13T21:51:00,5,0,48,30.3,10,22
2018-01-13T22:00:00,5,,48,30.29,9.94,22
2018-01-13T22:51:00,5,0,50,30.35,10,21
2018-01-13T23:51:00,3,0,48,30.37,10,18
2018-01-13T23:59:00,,,,,,
2018-01-14T00:51:00,4,0,51,30.4,10,18
2018-01-14T01:00:00,4,,51,30.39,9.94,18
2018-01-14T01:51:00,3,0,52,30.42,10,20
2018-01-14T02:51:00,4,0,56,30.45,10,14
2018-01-14T03:51:00,3,0,54,30.45,10,17
2018-01-14T04:00:00,3,,54,30.44,9.94,17
2018-01-14T04:51:00,3,0,56,30.47,10,16
